"huc12","CDL_name","areasqkm","pixel.coverage","percent.coverage"
"070900050503","Grass/Pasture",89.28,14643.3538871628,14.761445450769
"070900050603","Grass/Pasture",72.61,9037.68643140994,11.2022005071876
"070900050903","Grass/Pasture",84.95,9496.75183281372,10.0613027069245
"070900070104","Grass/Pasture",84.36,7209.5899088612,7.69159663107525
"070900070106","Grass/Pasture",87.26,6672.25130298382,6.88176274660261
"070900070602","Grass/Pasture",74,7011.40974200682,8.52739022676505
"071000010201","Grass/Pasture",92.35,6701.21847462775,6.53069477765563
"071000010301","Grass/Pasture",73.4,4714.82449903267,5.78111995794197
"071000010302","Grass/Pasture",71.44,3137.03093418584,3.95202665280971
"071000010602","Grass/Pasture",84.64,1762.1336498007,1.87372434406974
"071000010801","Grass/Pasture",83.87,4460.55972287431,4.78657893237973
"071000010803","Grass/Pasture",90.38,17888.0726723994,17.8128628072134
"071000010804","Grass/Pasture",67.6,5879.59464590414,7.82786269425107
"071000040204","Grass/Pasture",93.39,11885.4199229811,11.4539864339683
"071000040605","Grass/Pasture",78.59,4434.88191847852,5.07875521902363
"071000070901","Grass/Pasture",65.51,23962.9325125255,32.9211406827552
"071000070902","Grass/Pasture",63.96,17021.2104559992,23.9510466078788
"071000080503","Grass/Pasture",64.34,22736.0316456039,31.8035879406955
"071000080605","Grass/Pasture",66.33,21669.4348869762,29.402218299832
"071000080610","Grass/Pasture",89.16,32162.2005568618,32.4652091758363
"071000081102","Grass/Pasture",76.38,18836.4981538994,22.1954023808713
"071000081202","Grass/Pasture",76.13,20189.8332556279,23.8681859057732
"071000081505","Grass/Pasture",79.02,32479.5831034599,36.9926914617994
"071000090309","Grass/Pasture",74.84,21143.2566486969,25.4261504326927
"071100010401","Grass/Pasture",64.66,12645.2075545535,17.6008147217726
"071100010507","Grass/Pasture",66.56,14080.8271773854,19.0395800174983
"071100090202","Grass/Pasture",66.76,11039.6010373347,14.8826257243877
"071200011405","Grass/Pasture",71.42,9356.91477864281,11.7911275563967
"071200060801","Grass/Pasture",78.43,9415.63610026496,10.8046315061054
"071200070510","Grass/Pasture",86.93,7163.01695885313,7.41598442766343
"071200070606","Grass/Pasture",83.92,8258.99203867232,8.85735561821388
"071300010801","Grass/Pasture",72.63,2579.6189049547,3.19655378556964
"071300011102","Grass/Pasture",93.08,11963.9763542839,11.5680905875113
"071300011204","Grass/Pasture",81.04,10584.3949874874,11.7546341173972
"071300011402","Grass/Pasture",81.51,5584.92233571433,6.16664225511336
